id,genre_id
ts21695,4
tm72587,9
tm72587,0
tm72587,1
tm72587,5
tm99776,7
tm99776,0
tm83175,1
tm83175,3
tm83175,7
tm83175,9
tm83175,2
tm139349,7
tm139349,0
tm59880,7
ts56589,16
ts56589,7
ts56589,13
tm61056,9
tm61056,7
tm61056,1
tm129763,7
tm129763,1
ts21664,7
tm44378,1
tm44378,12
tm25842,0
tm34846,6
tm34846,3
tm34846,1
tm34846,16
tm71119,7
tm71119,3
tm170873,1
tm170873,7
tm22540,7
tm22540,2
tm96037,16
tm96037,3
tm96037,6
tm110923,9
tm110923,7
tm110923,1
tm110923,8
tm168869,7
ts37200,16
ts37200,13
ts37200,5
tm147686,7
tm147686,0
tm93612,6
tm93612,16
tm93612,3
tm36164,6
tm36164,16
tm36164,3
tm30170,4
tm30170,2
tm30170,3
tm30170,5
tm29731,7
tm29731,1
tm29731,9
tm147494,3
tm147494,7
tm147494,1
tm147494,6
tm147494,16
tm44530,1
tm44530,9
tm89936,6
tm89936,3
tm89936,7
tm89936,4
ts98353,16
ts44663,16
ts44663,7
ts44663,5
tm81461,7
tm81461,1
tm155761,7
tm155761,3
tm155761,9
tm48083,1
tm48083,7
tm48083,5
tm84348,3
tm84348,2
tm84348,1
tm175687,8
tm175687,0
tm33067,1
tm33067,3
tm33067,4
tm33067,2
tm33067,7
tm70222,3
tm70222,1
tm70222,4
tm70222,2
tm105278,6
tm105278,3
tm105278,16
tm105278,9
tm105278,7
tm352243,0
tm352243,2
ts98316,0
tm82718,3
tm82718,7
tm82718,15
tm98975,9
tm98975,1
ts98252,16
ts98252,7
ts98252,13
tm101609,1
tm101609,4
tm101609,2
tm418157,0
tm39557,1
tm39557,7
tm39557,9
tm150521,3
tm150521,1
tm150521,4
tm30289,7
tm30289,0
tm141117,1
tm141117,9
tm80339,7
tm80339,6
tm80339,16
tm80339,3
tm33729,1
tm33729,4
tm33729,7
tm93004,2
tm93004,3
tm93004,1
tm93004,4
ts13411,0
ts13411,5
ts1464,3
ts1464,1
ts1464,2
ts1464,4
ts1464,7
tm145243,7
tm145243,1
tm145243,9
tm34524,3
tm34524,7
tm34524,16
tm34524,1
tm34524,6
tm111226,7
tm111226,3
tm111226,2
tm111226,1
tm111226,4
tm23441,1
tm23441,9
tm166293,1
tm166293,13
tm166293,6
tm166293,7
tm24576,3
tm24576,16
tm92977,4
tm92977,7
tm92977,1
tm92977,9
tm77348,1
tm77348,9
tm77348,7
ts34414,7
ts29199,7
ts29199,16
tm91323,7
tm91323,1
tm91323,9
tm88366,1
tm88366,3
tm88366,7
tm88366,9
tm88366,4
tm156575,1
tm156575,7
tm164389,9
tm164389,1
tm164389,6
tm164389,7
tm37945,1
tm37945,12
tm106625,1
tm106625,7
tm106625,2
tm106625,9
tm65142,7
tm65142,1
tm65142,16
tm65142,3
tm99450,7
tm99450,1
tm99450,9
tm149209,2
tm149209,1
tm149209,3
tm149209,4
tm23977,12
tm23977,1
tm23977,4
tm160596,1
tm160596,5
tm160596,13
tm160596,8
tm129971,9
tm129971,1
tm129971,7
tm56428,7
ts18653,16
ts18653,3
ts18653,7
tm177687,6
tm177687,3
tm177687,7
tm177687,1
tm177687,16
tm77863,7
tm77863,1
tm77863,9
tm80455,1
tm80455,4
tm80455,2
tm184732,1
tm89764,6
tm89764,16
tm89764,3
tm89764,7
ts4866,7
ts4866,13
ts4866,1
ts4866,9
tm134407,7
tm134407,1
tm134407,9
tm103133,4
tm103133,9
tm103133,1
tm54147,1
tm54147,9
tm54147,7
ts137477,1
ts19384,0
tm101684,7
tm101684,9
tm152724,4
tm152724,3
tm152724,1
tm152724,2
tm152724,9
tm152724,18
ts204466,9
ts204466,7
ts204466,1
tm96168,4
tm96168,2
tm96168,1
tm96168,9
tm96168,3
tm146887,1
tm146887,7
tm138902,16
tm138902,6
tm138902,3
tm138902,4
tm165809,1
tm165809,7
tm165809,9
tm165809,4
tm165809,2
tm31335,7
tm31335,2
tm43179,7
tm43179,3
tm43179,2
tm43179,1
tm170169,3
tm170169,4
tm170169,14
tm170169,15
tm84316,3
tm84316,2
tm84316,1
tm84316,11
tm112235,1
tm112235,8
tm112235,3
tm368679,0
ts74928,0
ts74928,11
ts74928,8
ts74928,5
tm148041,7
tm148041,1
tm148041,9
tm176297,7
tm68191,8
tm68191,7
tm68191,1
tm68191,5
tm352863,14
tm25029,9
tm25029,1
ts40702,1
ts40702,13
tm237621,14
tm237621,4
tm237621,1
tm22989,7
tm22989,0
tm35652,1
tm80487,16
tm44634,7
tm44634,0
tm22558,7
tm22558,1
tm22558,13
tm52352,12
tm52352,0
tm104349,4
tm104349,2
tm104349,1
tm104349,3
tm85243,7
tm36636,7
tm36636,1
tm36636,4
tm226362,8
tm145690,7
tm31564,4
tm31564,2
tm31564,1
tm41953,7
tm98475,1
tm98475,13
tm98475,7
tm95434,9
tm95434,7
tm95434,1
ts44053,8
tm96595,8
tm96595,3
tm96595,1
tm96595,9
tm87909,16
tm87909,13
ts4924,1
ts4924,7
ts4924,9
ts178360,14
ts178360,4
ts178360,8
ts178360,3
ts178360,2
ts56595,16
tm154802,14
tm154802,4
tm154802,1
tm51493,7
tm51493,1
tm97982,1
tm97982,2
tm97982,7
tm52176,7
tm52176,1
tm102848,1
tm102848,7
tm114504,2
tm114504,1
tm114504,11
tm114504,3
ts160526,17
tm340006,1
tm340006,3
tm154375,1
tm154375,9
tm154375,7
tm134140,1
tm134140,7
tm134140,9
tm27484,9
tm27484,1
tm27484,7
tm81864,3
tm81864,7
tm81864,2
tm81864,1
tm241875,0
tm241875,12
tm241875,1
tm29028,1
tm29028,9
tm29028,5
tm164591,2
tm164591,1
tm164591,3
tm130301,1
tm130301,2
tm130301,3
tm712151,7
ts12444,1
tm91176,1
ts95855,1
tm143510,7
tm143510,1
tm143510,11
tm308960,7
tm308960,0
tm144835,0
tm135795,1
tm34924,4
tm34924,3
tm49865,4
tm49865,2
tm49865,1
tm49865,3
ts39604,1
tm598375,6
tm598375,16
tm598375,3
tm96052,1
tm62369,4
tm62369,3
tm62369,2
tm32915,7
tm32915,2
tm32915,1
ts1413,1
ts1413,13
ts1413,9
tm254052,4
tm254052,14
tm254052,9
tm254052,1
tm91125,9
tm91125,4
tm91125,3
tm91125,2
tm91125,1
ts8614,1
ts8614,3
tm100106,7
tm100106,9
ts188031,1
ts188031,9
ts188031,7
tm85689,4
tm85689,14
tm85689,9
tm85689,1
ts25707,1
tm38454,7
tm38454,0
tm57586,3
tm57586,1
tm57586,4
ts23797,3
ts23797,7
ts23797,18
ts23797,2
tm76029,8
tm76029,9
tm76029,1
tm76029,11
tm76029,5
tm42831,7
tm42831,3
tm42831,1
tm42831,6
ts70843,1
ts70843,7
ts70843,9
tm216753,0
tm216753,2
tm168751,1
tm101540,7
tm142153,1
tm142153,4
tm142153,3
tm142153,2
tm92671,7
tm92671,2
tm92671,3
tm88343,7
tm88343,4
tm88343,1
tm88343,9
ts23353,1
ts23353,7
tm628693,1
tm155774,1
tm46867,1
tm46867,13
tm46867,7
tm95507,1
tm95507,12
tm95507,9
tm95507,7
tm75544,1
tm75544,18
tm75544,4
tm144263,7
tm144263,2
tm144263,1
tm21155,1
tm21155,5
tm85369,1
tm85369,7
tm85369,9
tm85369,18
ts126804,1
tm140653,7
tm140653,9
tm140653,1
tm311516,9
tm311516,1
tm311516,7
ts29581,4
ts29581,3
ts29581,1
tm152413,1
ts82583,1
tm130999,7
tm130999,1
tm28024,7
tm28024,1
tm28024,9
tm1077037,16
tm85563,1
tm85563,5
ts124246,16
ts124246,3
tm254745,0
tm254745,11
tm76399,1
tm76399,9
tm481594,16
ts82592,4
ts82592,1
tm639940,1
tm639940,13
tm639940,9
tm252951,1
tm87672,1
tm87672,13
ts20660,1
ts20660,7
tm68272,7
tm61801,4
tm61801,1
tm61801,11
tm61801,8
tm44730,3
tm44730,6
tm44730,15
ts21095,16
ts21095,15
ts21095,3
ts21095,13
ts21095,4
ts21095,14
ts21095,6
ts21095,2
ts21095,7
ts21095,1
tm39888,4
tm39888,3
tm39888,1
tm39888,2
tm166978,4
tm166978,3
ts20564,7
ts20564,9
ts8175,13
ts8175,1
ts8175,11
ts8175,5
ts278,1
ts278,15
ts278,4
ts278,5
tm170442,4
tm170442,1
tm41792,10
tm41792,1
ts21580,1
ts21580,10
ts21580,2
ts21580,3
ts32835,3
ts32835,16
ts32835,7
ts32835,6
ts21599,17
tm32982,1
tm32982,11
tm32982,9
tm32982,8
tm60292,4
tm60292,1
ts27680,1
ts27680,7
ts27680,9
ts27680,5
ts20433,15
ts20433,16
ts20433,3
ts20433,7
ts20433,1
ts20433,6
ts20433,14
ts20433,4
tm171885,16
tm171885,13
tm171885,7
tm171885,6
tm171885,1
tm171885,3
tm158304,1
tm158304,4
tm158304,15
tm158304,3
ts17598,3
ts17598,2
ts17598,1
ts17598,4
ts17598,15
ts20458,16
ts20458,7
ts20458,13
ts20458,15
ts20458,3
ts20458,6
ts20458,5
ts20429,15
ts20429,3
ts20429,16
ts20429,1
ts20429,10
ts20429,6
ts20429,4
ts20429,9
ts20429,7
ts20457,16
ts20457,1
ts20457,13
ts20457,15
ts20457,3
ts20457,6
